OBJECTID,FIPS,NAME,COUNTY,HSR,PHYSH,POPOVER18,MAP_SYMBOL,CTYREG_EST,STATE_AVG,HSR_SYMBOL,MCONFINT
1,08043979000,"Census Tract 9790, Fremont County, Colorado",Fremont,13,13.1,2932,Highest Quintile,County/Regional Estimate 15.3% (95% C.I.: 11.9 - 18.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 12.1 - 14.1
2,08045951600,"Census Tract 9516, Garfield County, Colorado",Garfield,12,6.3,3030,Lowest Quintile,County/Regional Estimate 7.5% (95% C.I.: 5.2 - 9.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 5.7 - 7.1
3,08069002803,"Census Tract 28.03, Larimer County, Colorado",Larimer,2,5.8,91,Lowest Quintile,County/Regional Estimate 7.5% (95% C.I.: 6.3 - 8.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 5.4 - 6.1
4,08125963200,"Census Tract 9632, Yuma County, Colorado",Yuma,1,7.8,4339,Second Quintile,County/Regional Estimate 10% (95% C.I.: 4.7 - 15.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 6.4 - 10.1
5,08069002401,"Census Tract 24.01, Larimer County, Colorado",Larimer,2,8.6,942,Middle Quintile,County/Regional Estimate 7.5% (95% C.I.: 6.3 - 8.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 8.2 - 9
6,08069002402,"Census Tract 24.02, Larimer County, Colorado",Larimer,2,7.6,2203,Second Quintile,County/Regional Estimate 7.5% (95% C.I.: 6.3 - 8.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 7.2 - 7.9
7,08103951200,"Census Tract 9512, Rio Blanco County, Colorado",Rio Blanco,11,5.9,2034,Lowest Quintile,County/Regional Estimate 5.5% (95% C.I.: 2.3 - 8.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 4.7 - 8.4
8,08103951100,"Census Tract 9511, Rio Blanco County, Colorado",Rio Blanco,11,6.6,2993,Lowest Quintile,County/Regional Estimate 5.5% (95% C.I.: 2.3 - 8.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 5.2 - 10
9,08049000201,"Census Tract 2.01, Grand County, Colorado",Grand,12,4.2,3850,Lowest Quintile,County/Regional Estimate 3.5% (95% C.I.: 0.5 - 6.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 3.5 - 5.2
10,08049000202,"Census Tract 2.02, Grand County, Colorado",Grand,12,3.8,5497,Lowest Quintile,County/Regional Estimate 3.5% (95% C.I.: 0.5 - 6.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 3.2 - 5.4
11,08049000100,"Census Tract 1, Grand County, Colorado",Grand,12,10.4,2366,Fourth Quintile,County/Regional Estimate 3.5% (95% C.I.: 0.5 - 6.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 9.6 - 11.8
12,08081000600,"Census Tract 6, Moffat County, Colorado",Moffat,11,11.3,1170,Highest Quintile,County/Regional Estimate 9.7% (95% C.I.: 6.5 - 12.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 10 - 14.8
13,08081000500,"Census Tract 5, Moffat County, Colorado",Moffat,11,10.5,3086,Fourth Quintile,County/Regional Estimate 9.7% (95% C.I.: 6.5 - 12.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 9.2 - 12.3
14,08081000400,"Census Tract 4, Moffat County, Colorado",Moffat,11,10.2,3195,Fourth Quintile,County/Regional Estimate 9.7% (95% C.I.: 6.5 - 12.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 8.9 - 12.8
15,08081000300,"Census Tract 3, Moffat County, Colorado",Moffat,11,12.1,2247,Highest Quintile,County/Regional Estimate 9.7% (95% C.I.: 6.5 - 12.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 10.9 - 14.9
16,08057955600,"Census Tract 9556, Jackson County, Colorado",Jackson,11,2.2,1118,Lowest Quintile,County/Regional Estimate 1.8% (95% C.I.: 0 - 4),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 0 - 5.9
17,08121924100,"Census Tract 9241, Washington County, Colorado",Washington,1,10.1,1508,Fourth Quintile,County/Regional Estimate 11.1% (95% C.I.: 4.3 - 17.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 8.2 - 12.7
18,08107000800,"Census Tract 8, Routt County, Colorado",Routt,11,7.6,1564,Second Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.6 - 10.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 6.6 - 9
19,08107000700,"Census Tract 7, Routt County, Colorado",Routt,11,9.3,4344,Middle Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.6 - 10.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 8 - 10.8
20,08107000500,"Census Tract 5, Routt County, Colorado",Routt,11,9.1,3446,Middle Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.6 - 10.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 8 - 10.7
21,08107000200,"Census Tract 2, Routt County, Colorado",Routt,11,8.2,1467,Second Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.6 - 10.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 7 - 9.9
22,08107000400,"Census Tract 4, Routt County, Colorado",Routt,11,7.3,2537,Lowest Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.6 - 10.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 6.3 - 9
23,08107000600,"Census Tract 6, Routt County, Colorado",Routt,11,7.6,2359,Second Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.6 - 10.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 6.8 - 8.8
24,08107000300,"Census Tract 3, Routt County, Colorado",Routt,11,6.8,1719,Lowest Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.6 - 10.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 6 - 7.9
25,08107000100,"Census Tract 1, Routt County, Colorado",Routt,11,7.2,1488,Lowest Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.6 - 10.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 6.3 - 8.3
26,08051963900,"Census Tract 9639, Gunnison County, Colorado",Gunnison,10,11.8,790,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 6 - 15.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 10.2 - 13.8
27,08051963700,"Census Tract 9637, Gunnison County, Colorado",Gunnison,10,12.4,5431,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 6 - 15.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 10.9 - 14.6
28,08051963600,"Census Tract 9636, Gunnison County, Colorado",Gunnison,10,11.8,2841,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 6 - 15.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 10.5 - 13.6
29,08051963800,"Census Tract 9638, Gunnison County, Colorado",Gunnison,10,11.7,3696,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 6 - 15.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 10.4 - 13.2
30,08021974900,"Census Tract 9749, Conejos County, Colorado",Conejos,8,16.4,3230,Highest Quintile,County/Regional Estimate 15% (95% C.I.: 8.2 - 21.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 13.4 - 20.4
31,08021974800,"Census Tract 9748, Conejos County, Colorado",Conejos,8,16,2746,Highest Quintile,County/Regional Estimate 15% (95% C.I.: 8.2 - 21.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 13.1 - 20.3
32,08037000703,"Census Tract 7.03, Eagle County, Colorado",Eagle,12,6.4,2903,Lowest Quintile,County/Regional Estimate 6.8% (95% C.I.: 4.4 - 9.2),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 5.7 - 7.2
33,08037000301,"Census Tract 3.01, Eagle County, Colorado",Eagle,12,7.5,4408,Second Quintile,County/Regional Estimate 6.8% (95% C.I.: 4.4 - 9.2),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 6.6 - 8.7
34,08037000702,"Census Tract 7.02, Eagle County, Colorado",Eagle,12,6.1,1226,Lowest Quintile,County/Regional Estimate 6.8% (95% C.I.: 4.4 - 9.2),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 5.5 - 7.3
35,08037000402,"Census Tract 4.02, Eagle County, Colorado",Eagle,12,8.4,3066,Middle Quintile,County/Regional Estimate 6.8% (95% C.I.: 4.4 - 9.2),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 7.5 - 9.8
36,08037000501,"Census Tract 5.01, Eagle County, Colorado",Eagle,12,5.4,736,Lowest Quintile,County/Regional Estimate 6.8% (95% C.I.: 4.4 - 9.2),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 4.7 - 6.3
37,08037000502,"Census Tract 5.02, Eagle County, Colorado",Eagle,12,5,3386,Lowest Quintile,County/Regional Estimate 6.8% (95% C.I.: 4.4 - 9.2),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 4.5 - 5.9
38,08037000302,"Census Tract 3.02, Eagle County, Colorado",Eagle,12,8.3,1775,Second Quintile,County/Regional Estimate 6.8% (95% C.I.: 4.4 - 9.2),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 7.4 - 9.4
39,08037000403,"Census Tract 4.03, Eagle County, Colorado",Eagle,12,6.5,5696,Lowest Quintile,County/Regional Estimate 6.8% (95% C.I.: 4.4 - 9.2),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 5.8 - 7.4
40,08037000701,"Census Tract 7.01, Eagle County, Colorado",Eagle,12,6,855,Lowest Quintile,County/Regional Estimate 6.8% (95% C.I.: 4.4 - 9.2),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 5.4 - 6.8
41,08037000401,"Census Tract 4.01, Eagle County, Colorado",Eagle,12,7.5,4015,Second Quintile,County/Regional Estimate 6.8% (95% C.I.: 4.4 - 9.2),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 6.6 - 8.5
